numero_item,descricao,tipo,marca,modelo,quantidade,unidade,valor_unitario,valor_total,fornecedor,cnpj_fornecedor,especificacoes,observacoes,raw_descricao,arquivo_origem
1,"Switch de Acesso 48 Portas PoE. Especificação completa consta no Edital PE 90018/2025, Anexo VI - Termo de Referência.",produto,Alcatel Lucent,OS6360-PH48- US,120.0,Und,15406.0,1848720.0,LETTEL DISTRIBUIDORA DE TELEFONIA LTDA.,07.789.113/0001-67,"['Switch de Acesso 48 Portas PoE. Especificação completa consta no Edital PE 90018/2025, Anexo VI - Termo de Referência.']",,"1 | Switch de Acesso 48 Portas PoE. Especificação completa consta no Edital PE 90018/2025, Anexo VI - Termo de Referência. | Marca: Alcatel Lucent OS6360-PH48- US | Und | 120 | R$15.406,00 | R$1.848.720,00",Ata#1039_llm.json
2,"Licença de upgrade das portas Gigabit SFP para 10G SFP+. Especificação completa consta no Edital PE 90018/2025, Anexo VI - Termo de Referência.",produto,Alcatel Lucent,OS6360-SW- PERF,120.0,Und,4594.0,551280.0,LETTEL DISTRIBUIDORA DE TELEFONIA LTDA.,07.789.113/0001-67,"['Licença de upgrade das portas Gigabit SFP para 10G SFP+. Especificação completa consta no Edital PE 90018/2025, Anexo VI - Termo de Referência.']",,"2 | Licença de upgrade das portas Gigabit SFP para 10G SFP+. Especificação completa consta no Edital PE 90018/2025, Anexo VI - Termo de Referência. | Marca: Alcatel Lucent OS6360-SW- PERF | Und | 120 | R$ 4.594,00 | R$ 551.280,00",Ata#1039_llm.json
36,Patch Cord RJ45,produto,Vo6,cat6,45.0,unidade,8.0,,Moura Eletronicos e Importação Ltda Me,10.636.064/0001-37,"['Patch Cord RJ45', 'Vo6', 'cat6', 'unidade', 'quantidade máxima 45', 'quantidade mínima 30', 'valor unitário 8,00']",Item 5.4 do TR,"Patch Cord Rj45 Vo6 cat6 unidade 45 30 R$ 8,00 Item 5.4 do TR",Ata - 1432_llm.json
37,Switch 16 portas,produto,Tp link,sg1016,2.0,unidade,465.4,,Moura Eletronicos e Importação Ltda Me,10.636.064/0001-37,"['Switch 16 portas', 'Tp link', 'sg1016', 'unidade', 'quantidade máxima 02', 'quantidade mínima 02', 'valor unitário 465,40']",Item 5.4 do TR,"Switch 16 portas Tp link sg1016 unidade 02 02 R$ 465,40 Item 5.4 do TR",Ata - 1432_llm.json
1,Switch - Tipo I,produto,H3C,S9850-32H,2.0,unidade,82044.0,164088.0,Roost Ltda,78.931.474/0009-00,"['Marca: H3C', 'Modelo: S9850-32H', 'Unidade: unidade', 'Quantidade: 2', 'Valor Unitário: 82.044,00', 'Valor Total: 164.088,00']",,Switch - Tipo I,Ata#1022_llm.json
2,Switch - Tipo II,produto,H3C,S6850-56HF,8.0,unidade,106000.0,848000.0,Roost Ltda,78.931.474/0009-00,"['Marca: H3C', 'Modelo: S6850-56HF', 'Unidade: unidade', 'Quantidade: 8', 'Valor Unitário: 106.000,00', 'Valor Total: 848.000,00']",,Switch - Tipo II,Ata#1022_llm.json
3,Transceiver 1 GE Base-T,produto,Skylane,SGT00P10DR0A000,12.0,unidade,400.0,4800.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: SGT00P10DR0A000', 'Unidade: unidade', 'Quantidade: 12', 'Valor Unitário: 400,00', 'Valor Total: 4.800,00']",,Transceiver 1 GE Base-T,Ata#1022_llm.json
4,Transceiver 10 GE Base-T,produto,Skylane,SPT00M301000000,20.0,unidade,1000.0,20000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: SPT00M301000000', 'Unidade: unidade', 'Quantidade: 20', 'Valor Unitário: 1.000,00', 'Valor Total: 20.000,00']",,Transceiver 10 GE Base-T,Ata#1022_llm.json
5,Transceivers 10GE-Base-LR,produto,Skylane,SPP13010100B000,20.0,unidade,200.0,4000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: SPP13010100B000', 'Unidade: unidade', 'Quantidade: 20', 'Valor Unitário: 200,00', 'Valor Total: 4.000,00']",,Transceivers 10GE-Base-LR,Ata#1022_llm.json
6,Transceivers 25GE-Base-LR,produto,Skylane,S2813010250F000,20.0,unidade,600.0,12000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: S2813010250F000', 'Unidade: unidade', 'Quantidade: 20', 'Valor Unitário: 600,00', 'Valor Total: 12.000,00']",,Transceivers 25GE-Base-LR,Ata#1022_llm.json
